ID,wav,label
utt_000098,data\EmoDB\wav\08b09Nb.wav,neutral
utt_000099,data\EmoDB\wav\08b09Tb.wav,sad
utt_000100,data\EmoDB\wav\08b09Wa.wav,angry
utt_000101,data\EmoDB\wav\08b09Wc.wav,angry
utt_000102,data\EmoDB\wav\08b10Aa.wav,fear
utt_000103,data\EmoDB\wav\08b10Fd.wav,happy
utt_000104,data\EmoDB\wav\08b10La.wav,neutral
utt_000105,data\EmoDB\wav\08b10Nc.wav,neutral
utt_000106,data\EmoDB\wav\08b10Tc.wav,sad
utt_000107,data\EmoDB\wav\08b10Wa.wav,angry
utt_000108,data\EmoDB\wav\09a01Ea.wav,disgust
utt_000109,data\EmoDB\wav\09a01Fa.wav,happy
utt_000110,data\EmoDB\wav\09a01Nb.wav,neutral
utt_000111,data\EmoDB\wav\09a01Wb.wav,angry
utt_000112,data\EmoDB\wav\09a02Ea.wav,disgust
utt_000113,data\EmoDB\wav\09a02Eb.wav,disgust
utt_000114,data\EmoDB\wav\09a02La.wav,neutral
utt_000115,data\EmoDB\wav\09a02Wb.wav,angry
utt_000116,data\EmoDB\wav\09a04Fd.wav,happy
utt_000117,data\EmoDB\wav\09a04La.wav,neutral
utt_000118,data\EmoDB\wav\09a04Nb.wav,neutral
utt_000119,data\EmoDB\wav\09a04Wa.wav,angry
utt_000120,data\EmoDB\wav\09a05Ed.wav,disgust
utt_000121,data\EmoDB\wav\09a05Lc.wav,neutral
utt_000122,data\EmoDB\wav\09a05Nb.wav,neutral
utt_000123,data\EmoDB\wav\09a05Tb.wav,sad
utt_000124,data\EmoDB\wav\09a05Wb.wav,angry
utt_000125,data\EmoDB\wav\09a05Wc.wav,angry
utt_000126,data\EmoDB\wav\09a07Eb.wav,disgust
utt_000127,data\EmoDB\wav\09a07Na.wav,neutral
utt_000128,data\EmoDB\wav\09a07Ta.wav,sad
utt_000129,data\EmoDB\wav\09a07Wb.wav,angry
utt_000130,data\EmoDB\wav\09a07Wd.wav,angry
utt_000131,data\EmoDB\wav\09b01Ea.wav,disgust
utt_000132,data\EmoDB\wav\09b01Na.wav,neutral
utt_000133,data\EmoDB\wav\09b01Wb.wav,angry
utt_000134,data\EmoDB\wav\09b02Na.wav,neutral
utt_000135,data\EmoDB\wav\09b02Tb.wav,sad
utt_000136,data\EmoDB\wav\09b02Wc.wav,angry
utt_000137,data\EmoDB\wav\09b02Wd.wav,angry
utt_000138,data\EmoDB\wav\09b03Ed.wav,disgust
utt_000139,data\EmoDB\wav\09b03Fa.wav,happy
utt_000140,data\EmoDB\wav\09b03Fd.wav,happy
utt_000141,data\EmoDB\wav\09b03Lb.wav,neutral
utt_000142,data\EmoDB\wav\09b03Nb.wav,neutral
utt_000143,data\EmoDB\wav\09b03Ta.wav,sad
utt_000144,data\EmoDB\wav\09b03Wb.wav,angry
utt_000145,data\EmoDB\wav\09b09Ea.wav,disgust
utt_000146,data\EmoDB\wav\09b09Nd.wav,neutral
utt_000147,data\EmoDB\wav\09b09Wa.wav,angry
utt_000148,data\EmoDB\wav\09b10Aa.wav,fear
utt_000149,data\EmoDB\wav\09b10Nd.wav,neutral
utt_000150,data\EmoDB\wav\09b10Wa.wav,angry
utt_000151,data\EmoDB\wav\10a01Ac.wav,fear
utt_000152,data\EmoDB\wav\10a01Nb.wav,neutral
utt_000153,data\EmoDB\wav\10a01Wa.wav,angry
utt_000154,data\EmoDB\wav\10a02Ab.wav,fear
utt_000155,data\EmoDB\wav\10a02Fa.wav,happy
utt_000156,data\EmoDB\wav\10a02Lb.wav,neutral
utt_000157,data\EmoDB\wav\10a02Na.wav,neutral
utt_000158,data\EmoDB\wav\10a02Wa.wav,angry
utt_000159,data\EmoDB\wav\10a04Fd.wav,happy
utt_000160,data\EmoDB\wav\10a04Nb.wav,neutral
utt_000161,data\EmoDB\wav\10a04Wa.wav,angry
utt_000162,data\EmoDB\wav\10a04Wb.wav,angry
utt_000163,data\EmoDB\wav\10a05Aa.wav,fear
utt_000164,data\EmoDB\wav\10a05Ld.wav,neutral
utt_000165,data\EmoDB\wav\10a05Tb.wav,sad
utt_000166,data\EmoDB\wav\10a05Wb.wav,angry
utt_000167,data\EmoDB\wav\10a07Aa.wav,fear
utt_000168,data\EmoDB\wav\10a07Ad.wav,fear
utt_000169,data\EmoDB\wav\10a07La.wav,neutral
utt_000170,data\EmoDB\wav\10a07Ta.wav,sad
utt_000171,data\EmoDB\wav\10a07Wb.wav,angry
utt_000172,data\EmoDB\wav\10b01Aa.wav,fear
utt_000173,data\EmoDB\wav\10b01Ea.wav,disgust
utt_000174,data\EmoDB\wav\10b01Fa.wav,happy
utt_000175,data\EmoDB\wav\10b01Lb.wav,neutral
utt_000176,data\EmoDB\wav\10b02Aa.wav,fear
utt_000177,data\EmoDB\wav\10b02La.wav,neutral
utt_000178,data\EmoDB\wav\10b02Na.wav,neutral
utt_000179,data\EmoDB\wav\10b02Wb.wav,angry
utt_000180,data\EmoDB\wav\10b03La.wav,neutral
utt_000181,data\EmoDB\wav\10b03Tb.wav,sad
utt_000182,data\EmoDB\wav\10b03Wb.wav,angry
utt_000183,data\EmoDB\wav\10b09Ad.wav,fear
utt_000184,data\EmoDB\wav\10b09Lb.wav,neutral
utt_000185,data\EmoDB\wav\10b09Wb.wav,angry
utt_000186,data\EmoDB\wav\10b10Fc.wav,happy
utt_000187,data\EmoDB\wav\10b10Lc.wav,neutral
utt_000188,data\EmoDB\wav\10b10Wa.wav,angry
utt_000189,data\EmoDB\wav\11a01Aa.wav,fear
utt_000190,data\EmoDB\wav\11a01Ab.wav,fear
utt_000191,data\EmoDB\wav\11a01Ld.wav,neutral
utt_000192,data\EmoDB\wav\11a01Nd.wav,neutral
utt_000193,data\EmoDB\wav\11a01Wc.wav,angry
utt_000194,data\EmoDB\wav\11a02Ec.wav,disgust
utt_000195,data\EmoDB\wav\11a02Fb.wav,happy
utt_000196,data\EmoDB\wav\11a02Ld.wav,neutral
utt_000197,data\EmoDB\wav\11a02Nc.wav,neutral
utt_000198,data\EmoDB\wav\11a02Tc.wav,sad
utt_000199,data\EmoDB\wav\11a02Wc.wav,angry
utt_000200,data\EmoDB\wav\11a04Ac.wav,fear
utt_000201,data\EmoDB\wav\11a04Fd.wav,happy
utt_000202,data\EmoDB\wav\11a04Nd.wav,neutral
utt_000203,data\EmoDB\wav\11a04Wc.wav,angry
utt_000204,data\EmoDB\wav\11a05Ad.wav,fear
utt_000205,data\EmoDB\wav\11a05Fb.wav,happy
utt_000206,data\EmoDB\wav\11a05Fc.wav,happy
utt_000207,data\EmoDB\wav\11a05Lc.wav,neutral
utt_000208,data\EmoDB\wav\11a05Na.wav,neutral
utt_000209,data\EmoDB\wav\11a05Td.wav,sad
utt_000210,data\EmoDB\wav\11a05Wd.wav,angry
utt_000211,data\EmoDB\wav\11a07Ac.wav,fear
utt_000212,data\EmoDB\wav\11a07Ld.wav,neutral
utt_000213,data\EmoDB\wav\11a07Ta.wav,sad
utt_000214,data\EmoDB\wav\11a07Wc.wav,angry
utt_000215,data\EmoDB\wav\11b01Ab.wav,fear
utt_000216,data\EmoDB\wav\11b01Eb.wav,disgust
utt_000217,data\EmoDB\wav\11b01Fc.wav,happy
utt_000218,data\EmoDB\wav\11b01Lb.wav,neutral
utt_000219,data\EmoDB\wav\11b01Nc.wav,neutral
utt_000220,data\EmoDB\wav\11b01Wd.wav,angry
utt_000221,data\EmoDB\wav\11b02Ab.wav,fear
utt_000222,data\EmoDB\wav\11b02Fd.wav,happy
utt_000223,data\EmoDB\wav\11b02Na.wav,neutral
utt_000224,data\EmoDB\wav\11b02Td.wav,sad
utt_000225,data\EmoDB\wav\11b02Wb.wav,angry
utt_000226,data\EmoDB\wav\11b03Fc.wav,happy
utt_000227,data\EmoDB\wav\11b03Lc.wav,neutral
utt_000228,data\EmoDB\wav\11b03Nb.wav,neutral
utt_000229,data\EmoDB\wav\11b03Td.wav,sad
utt_000230,data\EmoDB\wav\11b03Wa.wav,angry
utt_000231,data\EmoDB\wav\11b03Wb.wav,angry
utt_000232,data\EmoDB\wav\11b09Ad.wav,fear
utt_000233,data\EmoDB\wav\11b09Fd.wav,happy
utt_000234,data\EmoDB\wav\11b09Ld.wav,neutral
utt_000235,data\EmoDB\wav\11b09Na.wav,neutral
utt_000236,data\EmoDB\wav\11b09Td.wav,sad
utt_000237,data\EmoDB\wav\11b09Wa.wav,angry
utt_000238,data\EmoDB\wav\11b10Ad.wav,fear
utt_000239,data\EmoDB\wav\11b10Ae.wav,fear
utt_000240,data\EmoDB\wav\11b10Ld.wav,neutral
utt_000241,data\EmoDB\wav\11b10Nc.wav,neutral
utt_000242,data\EmoDB\wav\11b10Td.wav,sad
utt_000243,data\EmoDB\wav\11b10Wa.wav,angry
utt_000244,data\EmoDB\wav\12a01Fb.wav,happy
utt_000245,data\EmoDB\wav\12a01Lb.wav,neutral
utt_000246,data\EmoDB\wav\12a01Nb.wav,neutral
utt_000247,data\EmoDB\wav\12a01Wc.wav,angry
utt_000248,data\EmoDB\wav\12a02Ac.wav,fear
utt_000249,data\EmoDB\wav\12a02Ec.wav,disgust
utt_000250,data\EmoDB\wav\12a02Nb.wav,neutral
utt_000251,data\EmoDB\wav\12a02Wa.wav,angry
utt_000252,data\EmoDB\wav\12a02Wc.wav,angry
utt_000253,data\EmoDB\wav\12a04Wc.wav,angry
utt_000254,data\EmoDB\wav\12a05Ab.wav,fear
utt_000255,data\EmoDB\wav\12a05Lb.wav,neutral
utt_000256,data\EmoDB\wav\12a05Nd.wav,neutral
utt_000257,data\EmoDB\wav\12a05Ta.wav,sad
utt_000258,data\EmoDB\wav\12a05Wb.wav,angry
utt_000259,data\EmoDB\wav\12a07Ac.wav,fear
utt_000260,data\EmoDB\wav\12a07La.wav,neutral
utt_000261,data\EmoDB\wav\12a07Wa.wav,angry
utt_000262,data\EmoDB\wav\12b01Ta.wav,sad
utt_000263,data\EmoDB\wav\12b01Wa.wav,angry
utt_000264,data\EmoDB\wav\12b02Ad.wav,fear
utt_000265,data\EmoDB\wav\12b02Ea.wav,disgust
utt_000266,data\EmoDB\wav\12b02Fb.wav,happy
utt_000267,data\EmoDB\wav\12b02Na.wav,neutral
utt_000268,data\EmoDB\wav\12b02Wa.wav,angry
utt_000269,data\EmoDB\wav\12b02Wb.wav,angry
utt_000270,data\EmoDB\wav\12b02Wd.wav,angry
utt_000271,data\EmoDB\wav\12b03La.wav,neutral
utt_000272,data\EmoDB\wav\12b03Ta.wav,sad
utt_000273,data\EmoDB\wav\12b09Ac.wav,fear
utt_000274,data\EmoDB\wav\12b09Td.wav,sad
utt_000275,data\EmoDB\wav\12b09Wc.wav,angry
utt_000276,data\EmoDB\wav\12b10Ac.wav,fear
utt_000277,data\EmoDB\wav\12b10Ld.wav,neutral
utt_000278,data\EmoDB\wav\12b10Wa.wav,angry
utt_000279,data\EmoDB\wav\13a01Ac.wav,fear
utt_000280,data\EmoDB\wav\13a01Ea.wav,disgust
utt_000281,data\EmoDB\wav\13a01Ec.wav,disgust
utt_000282,data\EmoDB\wav\13a01Fd.wav,happy
utt_000283,data\EmoDB\wav\13a01Lb.wav,neutral
utt_000284,data\EmoDB\wav\13a01Nb.wav,neutral
utt_000285,data\EmoDB\wav\13a01Wb.wav,angry
utt_000286,data\EmoDB\wav\13a02Ad.wav,fear
utt_000287,data\EmoDB\wav\13a02Ec.wav,disgust
utt_000288,data\EmoDB\wav\13a02Fa.wav,happy
utt_000289,data\EmoDB\wav\13a02Lc.wav,neutral
utt_000290,data\EmoDB\wav\13a02Nc.wav,neutral
utt_000291,data\EmoDB\wav\13a02Ta.wav,sad
utt_000292,data\EmoDB\wav\13a02Wa.wav,angry
utt_000293,data\EmoDB\wav\13a04Ac.wav,fear
utt_000294,data\EmoDB\wav\13a04Fc.wav,happy
utt_000295,data\EmoDB\wav\13a04Lb.wav,neutral
utt_000296,data\EmoDB\wav\13a04Ta.wav,sad
utt_000297,data\EmoDB\wav\13a04Wc.wav,angry
utt_000298,data\EmoDB\wav\13a05Aa.wav,fear
utt_000299,data\EmoDB\wav\13a05Ea.wav,disgust
utt_000300,data\EmoDB\wav\13a05Lc.wav,neutral
utt_000301,data\EmoDB\wav\13a05Nb.wav,neutral
utt_000302,data\EmoDB\wav\13a05Tc.wav,sad
utt_000303,data\EmoDB\wav\13a05Wa.wav,angry
utt_000304,data\EmoDB\wav\13a05Wc.wav,angry
utt_000305,data\EmoDB\wav\13a07Fd.wav,happy
utt_000306,data\EmoDB\wav\13a07Lb.wav,neutral
utt_000307,data\EmoDB\wav\13a07Na.wav,neutral
utt_000308,data\EmoDB\wav\13a07Tc.wav,sad
utt_000309,data\EmoDB\wav\13a07Wb.wav,angry
utt_000310,data\EmoDB\wav\13b01Ab.wav,fear
utt_000311,data\EmoDB\wav\13b01Ec.wav,disgust
utt_000312,data\EmoDB\wav\13b01Fc.wav,happy
utt_000313,data\EmoDB\wav\13b01Ld.wav,neutral
utt_000314,data\EmoDB\wav\13b01Nc.wav,neutral
utt_000315,data\EmoDB\wav\13b01Wa.wav,angry
utt_000316,data\EmoDB\wav\13b02Fb.wav,happy
utt_000317,data\EmoDB\wav\13b02Lc.wav,neutral
utt_000318,data\EmoDB\wav\13b02Nb.wav,neutral
utt_000319,data\EmoDB\wav\13b02Wa.wav,angry
utt_000320,data\EmoDB\wav\13b03Ac.wav,fear
utt_000321,data\EmoDB\wav\13b03Ed.wav,disgust
utt_000322,data\EmoDB\wav\13b03Fd.wav,happy
utt_000323,data\EmoDB\wav\13b03Lb.wav,neutral
utt_000324,data\EmoDB\wav\13b03Na.wav,neutral
utt_000325,data\EmoDB\wav\13b03Td.wav,sad
utt_000326,data\EmoDB\wav\13b03Wc.wav,angry
utt_000327,data\EmoDB\wav\13b09Ab.wav,fear
utt_000328,data\EmoDB\wav\13b09Ec.wav,disgust
utt_000329,data\EmoDB\wav\13b09Fb.wav,happy
utt_000330,data\EmoDB\wav\13b09Fc.wav,happy
utt_000331,data\EmoDB\wav\13b09La.wav,neutral
utt_000332,data\EmoDB\wav\13b09Na.wav,neutral
utt_000333,data\EmoDB\wav\13b09Wa.wav,angry
utt_000334,data\EmoDB\wav\13b10Ec.wav,disgust
utt_000335,data\EmoDB\wav\13b10Fa.wav,happy
utt_000336,data\EmoDB\wav\13b10La.wav,neutral
utt_000337,data\EmoDB\wav\13b10Nc.wav,neutral
utt_000338,data\EmoDB\wav\13b10Wa.wav,angry
utt_000339,data\EmoDB\wav\13b10Wc.wav,angry
utt_000340,data\EmoDB\wav\14a01Aa.wav,fear
utt_000341,data\EmoDB\wav\14a01Ac.wav,fear
utt_000342,data\EmoDB\wav\14a01Ea.wav,disgust
utt_000343,data\EmoDB\wav\14a01Na.wav,neutral
utt_000344,data\EmoDB\wav\14a01Wa.wav,angry
utt_000345,data\EmoDB\wav\14a01Wc.wav,angry
utt_000346,data\EmoDB\wav\14a02Ab.wav,fear
utt_000347,data\EmoDB\wav\14a02Ea.wav,disgust
utt_000348,data\EmoDB\wav\14a02Fd.wav,happy
utt_000349,data\EmoDB\wav\14a02La.wav,neutral
utt_000350,data\EmoDB\wav\14a02Nc.wav,neutral
utt_000351,data\EmoDB\wav\14a02Tb.wav,sad
utt_000352,data\EmoDB\wav\14a02Wa.wav,angry
utt_000353,data\EmoDB\wav\14a02Wc.wav,angry
utt_000354,data\EmoDB\wav\14a04Aa.wav,fear
utt_000355,data\EmoDB\wav\14a04Ed.wav,disgust
utt_000356,data\EmoDB\wav\14a04Lb.wav,neutral
utt_000357,data\EmoDB\wav\14a04Tb.wav,sad
utt_000358,data\EmoDB\wav\14a04Tc.wav,sad
utt_000359,data\EmoDB\wav\14a04Wb.wav,angry
utt_000360,data\EmoDB\wav\14a04Wc.wav,angry
utt_000361,data\EmoDB\wav\14a05Aa.wav,fear
utt_000362,data\EmoDB\wav\14a05Ac.wav,fear
utt_000363,data\EmoDB\wav\14a05Fa.wav,happy
utt_000364,data\EmoDB\wav\14a05Fb.wav,happy
utt_000365,data\EmoDB\wav\14a05Lb.wav,neutral
utt_000366,data\EmoDB\wav\14a05Na.wav,neutral
utt_000367,data\EmoDB\wav\14a05Ta.wav,sad
utt_000368,data\EmoDB\wav\14a05Tc.wav,sad
utt_000369,data\EmoDB\wav\14a05Wa.wav,angry
utt_000370,data\EmoDB\wav\14a05Wb.wav,angry
utt_000371,data\EmoDB\wav\14a07Aa.wav,fear
utt_000372,data\EmoDB\wav\14a07Eb.wav,disgust
utt_000373,data\EmoDB\wav\14a07Fd.wav,happy
utt_000374,data\EmoDB\wav\14a07Lc.wav,neutral
utt_000375,data\EmoDB\wav\14a07Ld.wav,neutral
utt_000376,data\EmoDB\wav\14a07Na.wav,neutral
utt_000377,data\EmoDB\wav\14a07Tc.wav,sad
utt_000378,data\EmoDB\wav\14a07Wc.wav,angry
utt_000379,data\EmoDB\wav\14b01Ac.wav,fear
utt_000380,data\EmoDB\wav\14b01Eb.wav,disgust
utt_000381,data\EmoDB\wav\14b01Fa.wav,happy
utt_000382,data\EmoDB\wav\14b01Fc.wav,happy
utt_000383,data\EmoDB\wav\14b01Na.wav,neutral
utt_000384,data\EmoDB\wav\14b01Wc.wav,angry
utt_000385,data\EmoDB\wav\14b02Aa.wav,fear
utt_000386,data\EmoDB\wav\14b02Fb.wav,happy
utt_000387,data\EmoDB\wav\14b02Na.wav,neutral
utt_000388,data\EmoDB\wav\14b02Tc.wav,sad
utt_000389,data\EmoDB\wav\14b02Wb.wav,angry
utt_000390,data\EmoDB\wav\14b02Wd.wav,angry
utt_000391,data\EmoDB\wav\14b03Ad.wav,fear
utt_000392,data\EmoDB\wav\14b03Ed.wav,disgust
utt_000393,data\EmoDB\wav\14b03Lb.wav,neutral
utt_000394,data\EmoDB\wav\14b03Ta.wav,sad
utt_000395,data\EmoDB\wav\14b03Wb.wav,angry
utt_000396,data\EmoDB\wav\14b09Ac.wav,fear
utt_000397,data\EmoDB\wav\14b09Ea.wav,disgust
utt_000398,data\EmoDB\wav\14b09Fc.wav,happy
utt_000399,data\EmoDB\wav\14b09Lb.wav,neutral
utt_000400,data\EmoDB\wav\14b09Td.wav,sad
utt_000401,data\EmoDB\wav\14b09Wa.wav,angry
utt_000402,data\EmoDB\wav\14b09Wc.wav,angry
utt_000403,data\EmoDB\wav\14b10Ad.wav,fear
utt_000404,data\EmoDB\wav\14b10Eb.wav,disgust
utt_000405,data\EmoDB\wav\14b10Lb.wav,neutral
utt_000406,data\EmoDB\wav\14b10Nb.wav,neutral
utt_000407,data\EmoDB\wav\14b10Tc.wav,sad
utt_000408,data\EmoDB\wav\14b10Wc.wav,angry
utt_000409,data\EmoDB\wav\15a01Ea.wav,disgust
utt_000410,data\EmoDB\wav\15a01Fb.wav,happy
utt_000411,data\EmoDB\wav\15a01La.wav,neutral
utt_000412,data\EmoDB\wav\15a01Nb.wav,neutral
utt_000413,data\EmoDB\wav\15a01Wa.wav,angry
utt_000414,data\EmoDB\wav\15a02Ac.wav,fear
utt_000415,data\EmoDB\wav\15a02Ea.wav,disgust
utt_000416,data\EmoDB\wav\15a02La.wav,neutral
utt_000417,data\EmoDB\wav\15a02Na.wav,neutral
utt_000418,data\EmoDB\wav\15a02Ta.wav,sad
utt_000419,data\EmoDB\wav\15a02Wb.wav,angry
utt_000420,data\EmoDB\wav\15a02Wd.wav,angry
utt_000421,data\EmoDB\wav\15a04Ab.wav,fear
utt_000422,data\EmoDB\wav\15a04Ac.wav,fear
utt_000423,data\EmoDB\wav\15a04Fd.wav,happy
utt_000424,data\EmoDB\wav\15a04Nc.wav,neutral
utt_000425,data\EmoDB\wav\15a04Wa.wav,angry
utt_000426,data\EmoDB\wav\15a04Wb.wav,angry
utt_000427,data\EmoDB\wav\15a05Eb.wav,disgust
utt_000428,data\EmoDB\wav\15a05Fb.wav,happy
utt_000429,data\EmoDB\wav\15a05Lb.wav,neutral
utt_000430,data\EmoDB\wav\15a05Na.wav,neutral
utt_000431,data\EmoDB\wav\15a05Wa.wav,angry
utt_000432,data\EmoDB\wav\15a07Ac.wav,fear
utt_000433,data\EmoDB\wav\15a07Eb.wav,disgust
utt_000434,data\EmoDB\wav\15a07Fa.wav,happy
utt_000435,data\EmoDB\wav\15a07Fb.wav,happy
utt_000436,data\EmoDB\wav\15a07Ld.wav,neutral
utt_000437,data\EmoDB\wav\15a07Nc.wav,neutral
utt_000438,data\EmoDB\wav\15b01Ec.wav,disgust
utt_000439,data\EmoDB\wav\15b01Lb.wav,neutral
utt_000440,data\EmoDB\wav\15b01Na.wav,neutral
utt_000441,data\EmoDB\wav\15b01Wc.wav,angry
utt_000442,data\EmoDB\wav\15b02Aa.wav,fear
utt_000443,data\EmoDB\wav\15b02Lb.wav,neutral
utt_000444,data\EmoDB\wav\15b02Nd.wav,neutral
utt_000445,data\EmoDB\wav\15b02Tc.wav,sad
utt_000446,data\EmoDB\wav\15b02Wa.wav,angry
utt_000447,data\EmoDB\wav\15b02Wc.wav,angry
utt_000448,data\EmoDB\wav\15b03Aa.wav,fear
utt_000449,data\EmoDB\wav\15b03Lc.wav,neutral
utt_000450,data\EmoDB\wav\15b03Nb.wav,neutral
utt_000451,data\EmoDB\wav\15b03Tc.wav,sad
utt_000452,data\EmoDB\wav\15b03Wa.wav,angry
utt_000453,data\EmoDB\wav\15b03Wb.wav,angry
utt_000454,data\EmoDB\wav\15b09Ac.wav,fear
utt_000455,data\EmoDB\wav\15b09Fa.wav,happy
utt_000456,data\EmoDB\wav\15b09La.wav,neutral
utt_000457,data\EmoDB\wav\15b09Nb.wav,neutral
utt_000458,data\EmoDB\wav\15b09Ta.wav,sad
utt_000459,data\EmoDB\wav\15b09Wb.wav,angry
utt_000460,data\EmoDB\wav\15b10Ac.wav,fear
utt_000461,data\EmoDB\wav\15b10Lc.wav,neutral
utt_000462,data\EmoDB\wav\15b10Nb.wav,neutral
